iter	Passed	Remaining
399	38531	105961
400	38607	105808
401	38695	105691
402	38771	105539
403	38855	105408
404	38932	105260
405	39009	105114
406	39072	104929
407	39146	104775
408	39212	104598
409	39292	104461
410	39357	104282
411	39417	104092
412	39491	103941
413	39569	103799
414	39655	103676
415	39729	103525
416	39811	103396
417	39879	103228
418	39955	103082
419	40020	102911
420	40096	102764
421	40151	102566
422	40223	102412
423	40281	102224
424	40349	102060
425	40423	101911
426	40493	101755
427	40574	101626
428	40655	101495
429	40735	101365
430	40814	101230
431	40889	101088
432	40952	100914
433	41028	100774
434	41098	100620
435	41172	100476
436	41244	100327
437	41319	100185
438	41382	100016
439	41451	99859
440	41518	99700
441	41580	99529
442	41659	99400
443	41721	99229
444	41813	99131
445	42306	99980
446	43128	101596
447	43447	102023
448	43537	101911
449	43614	101766
450	43679	101594
451	43748	101434
452	43807	101251
453	43875	101088
454	43951	100944
455	44018	100779
456	44097	100642
457	44187	100531
458	44258	100377
459	44352	100275
460	44437	100154
461	44515	100014
462	44598	99888
463	44672	99742
464	44765	99639
465	45305	100528
466	46178	102147
467	46377	102268
468	46457	102128
469	46520	101948
470	46581	101766
471	46650	101603
472	46728	101458
473	46791	101282
474	46866	101133
475	46929	100957
476	47001	100802
477	47067	100633
478	47136	100472
479	47213	100327
480	47290	100184
481	47370	100048
482	47444	99897
483	47523	99759
484	47593	99603
485	47669	99458
486	47742	99309
487	47819	99166
488	47892	99017
489	47967	98872
490	48032	98705
491	48092	98530
492	48159	98369
493	48233	98224
494	48297	98058
495	48459	98091
496	48542	97963
497	48623	97832
498	48703	97699
499	48782	97564
500	48839	97386
501	48915	97246
502	48979	97082
503	49052	96937
504	49125	96792
505	49196	96642
506	49265	96490
507	49456	96576
508	50129	97600
509	50825	98660
510	50904	98521
511	50977	98369
512	51049	98218
513	51119	98061
514	51188	97904
515	51259	97751
516	51315	97568
517	51387	97418
518	51454	97257
519	51534	97121
520	51607	96974
521	51689	96844
522	51756	96685
523	51827	96534
524	51895	96376
525	52290	96826
526	52481	96896
527	52687	96993
528	52948	97188
529	53098	97180
530	53249	97172
531	53413	97188
532	53607	97257
533	53685	97117
534	53789	97021
